subnum,trial,diff,resp,corr,abstime,rt
2,1,-54,<lshift>,0,4023,490
2,2,-45,<rshift>,1,5305,364
2,3,-53,<lshift>,0,6461,126
2,4,-57,<lshift>,0,7380,139
2,5,-52,<rshift>,1,8313,270
2,6,-38,<rshift>,1,9375,220
2,7,-44,<lshift>,0,10388,136
2,8,-40,<rshift>,1,11316,143
2,9,-55,<lshift>,0,12259,97
2,10,-41,<rshift>,1,13159,249
2,11,-53,<lshift>,0,14200,106
2,12,-69,<lshift>,0,15101,370
2,13,-56,<rshift>,1,16262,161
2,14,-66,<lshift>,0,17215,391
2,15,-70,<lshift>,0,18406,863
2,16,-56,<rshift>,1,20068,194
2,17,-49,<rshift>,1,21052,244
2,18,-53,<lshift>,0,22083,253
2,19,-38,<rshift>,1,23126,235
2,20,-52,<lshift>,0,24156,97
2,21,-35,<rshift>,1,25052,186
2,22,-49,<lshift>,0,26032,87
2,23,-52,<lshift>,0,26930,362
2,24,-38,<rshift>,1,28089,24
2,25,-45,<lshift>,0,28901,61
2,26,-33,<rshift>,1,29752,120
2,27,-47,<lshift>,0,30672,101
2,28,-37,<rshift>,1,31569,231
2,29,-43,<lshift>,0,32587,232
2,30,-28,<rshift>,1,33609,446
2,31,-46,<lshift>,0,34851,102
2,32,-57,<lshift>,0,35742,393
2,33,-50,<rshift>,1,36924,240
2,34,-63,<lshift>,0,37954,575
2,35,-47,<rshift>,1,39324,210
2,36,-62,<lshift>,0,40324,138
2,37,-51,<rshift>,1,41251,92
2,38,-44,<rshift>,1,42134,416
2,39,-50,<lshift>,0,43342,133
2,40,-63,<lshift>,0,44263,552
2,41,-55,<rshift>,1,45604,191
2,42,-59,<lshift>,0,46586,620
2,43,-46,<rshift>,1,48004,212
2,44,-60,<lshift>,0,49003,204
2,45,-51,<rshift>,1,49994,279
2,46,-45,<rshift>,1,51071,332
2,47,-58,<lshift>,0,52202,139
2,48,-50,<rshift>,1,53132,39
2,49,-36,<rshift>,1,53962,196
2,50,-52,<lshift>,0,54954,112
